,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5419,NM_001366417.1,SETDB1,-0.674558557,0.24676382,0.482188981,-1.158245611,14.67904
5420,NM_173348.2,FAM149B1,0.327908766,0.247078043,0.482205611,1.157475745,27.47882062
5421,NM_001321441.2,AHSA1,0.648524125,0.246879665,0.482205611,1.157961704,158.1238674
5422,NM_022767.4,AEN,-0.364853876,0.247090293,0.482205611,-1.157445748,95.49230295
5423,NM_007194.4,CHEK2,0.246218789,0.247091099,0.482205611,1.157443773,56.88058422
5424,NM_005604.4,POU3F2,0.38912447,0.247022239,0.482205611,1.157612418,22.22022273
5425,NM_015891.3,CDC40,0.25407353,0.246948857,0.482205611,1.157792176,49.9414578
5426,NM_015949.3,GET4,-0.77739483,0.246971988,0.482205611,-1.15773551,19.75678866
5427,NM_001190987.3,SRSF11,0.369004293,0.247356154,0.482284216,1.15679493,40.48972277
5428,NM_001286504.1,HSPH1,1.339580461,0.247359106,0.482284216,1.156787705,16.98940966
5429,NM_000053.4,ATP7B,-0.489743368,0.247324463,0.482284216,-1.156872481,15.18972026
5430,NM_001290293.2,SDR39U1,-0.743705772,0.247213912,0.482284216,-1.157143071,9.962069449
5431,NM_001009923.2,TMEM230,0.167986784,0.247239758,0.482284216,1.157079801,260.6385704
5432,NM_001353102.2,PRPSAP2,0.314890125,0.247419007,0.482299278,1.156641139,54.32203633
5433,NM_138285.5,NUP35,0.257598123,0.247457926,0.482299278,1.156545926,48.60065227
5434,NM_001354361.1,GTDC1,0.512626531,0.247575115,0.482350119,1.156259288,11.58432948
5435,NM_001007157.2,PHF14,0.309262641,0.247548549,0.482350119,1.15632426,33.03247038
5436,NM_001297434.2,INPP5B,0.481401784,0.248045084,0.482675243,1.155110733,17.84238583
5437,NM_001085487.3,MYSM1,0.269333516,0.247973268,0.482675243,1.155286145,46.15758852
